GAME_DATE,PLAYER_NAME,MATCHUP,IS_HOME,REST_DAYS,L5_PTS,L10_PTS,SEASON_AVG_PTS,L5_REB,L5_AST,PTS
2023-11-15,LeBron James,LAL vs. SAC,1,0.0,24.0,24.3,24.3,7.8,4.4,28
2023-11-17,LeBron James,LAL @ POR,0,1.0,24.8,25.0,24.636363636363637,8.0,5.8,35
2023-11-19,LeBron James,LAL vs. HOU,1,1.0,25.8,26.4,25.5,8.2,7.0,37
2023-11-21,LeBron James,LAL vs. UTA,1,1.0,29.6,27.4,26.384615384615383,8.2,8.2,17
2023-11-22,LeBron James,LAL vs. DAL,1,0.0,26.6,27.2,25.714285714285715,7.4,8.8,26
2023-11-25,LeBron James,LAL @ CLE,0,2.0,28.6,26.3,25.733333333333334,7.4,9.0,22
2023-11-27,LeBron James,LAL @ PHI,0,1.0,27.4,26.1,25.5,6.6,7.8,18
2023-11-29,LeBron James,LAL @ DET,0,1.0,24.0,24.9,25.058823529411764,5.6,7.0,25
2023-11-30,LeBron James,LAL @ OKC,0,0.0,21.6,25.6,25.055555555555557,6.0,6.0,21
2023-12-02,LeBron James,LAL vs. HOU,1,1.0,22.4,24.5,24.842105263157894,7.0,5.4,16
2023-12-05,LeBron James,LAL vs. PHX,1,2.0,20.4,24.5,24.4,6.0,5.4,31
2023-12-07,LeBron James,LAL vs. NOP,1,1.0,22.2,24.8,24.714285714285715,6.4,6.4,30
2023-12-12,LeBron James,LAL @ DAL,0,4.0,24.6,24.3,24.954545454545453,7.4,7.0,33
2023-12-15,LeBron James,LAL @ SAS,0,2.0,26.2,23.9,25.304347826086957,7.4,8.2,23
2023-12-18,LeBron James,LAL vs. NYK,1,2.0,26.6,24.5,25.208333333333332,6.4,9.8,25
2023-12-20,LeBron James,LAL @ CHI,0,1.0,28.4,24.4,25.2,7.8,10.6,25
2023-12-23,LeBron James,LAL @ OKC,0,2.0,27.2,24.7,25.192307692307693,8.2,10.2,40
2023-12-25,LeBron James,LAL vs. BOS,1,1.0,29.2,26.9,25.74074074074074,8.6,10.0,16
2023-12-28,LeBron James,LAL vs. CHA,1,2.0,25.8,26.0,25.392857142857142,8.8,9.8,17
2023-12-30,LeBron James,LAL @ MIN,0,1.0,24.6,25.6,25.103448275862068,8.2,9.2,26
2023-12-31,LeBron James,LAL @ NOP,0,0.0,24.8,26.6,25.133333333333333,6.6,8.2,34
2024-01-03,LeBron James,LAL vs. MIA,1,2.0,26.6,26.9,25.419354838709676,5.6,8.0,12
2024-01-05,LeBron James,LAL vs. MEM,1,1.0,21.0,25.1,25.0,5.4,8.4,32
2024-01-07,LeBron James,LAL vs. LAC,1,1.0,24.2,25.0,25.21212121212121,4.6,8.2,25
2024-01-09,LeBron James,LAL vs. TOR,1,1.0,25.8,25.2,25.205882352941178,5.4,7.4,22
2024-01-11,LeBron James,LAL vs. PHX,1,1.0,25.0,24.9,25.114285714285714,5.8,8.6,10
2024-01-15,LeBron James,LAL vs. OKC,1,3.0,20.2,23.4,24.694444444444443,5.8,8.8,25
2024-01-17,LeBron James,LAL vs. DAL,1,1.0,22.8,21.9,24.7027027027027,6.0,8.2,25
2024-01-19,LeBron James,LAL vs. BKN,1,1.0,21.4,22.8,24.710526315789473,6.6,8.4,24
2024-01-21,LeBron James,LAL vs. POR,1,1.0,21.2,23.5,24.692307692307693,7.2,8.0,28
2024-01-25,LeBron James,LAL vs. CHI,1,3.0,22.4,23.7,24.775,7.2,6.6,25
2024-01-27,LeBron James,LAL @ GSW,0,1.0,25.4,22.8,24.78048780487805,7.0,7.2,36
2024-01-29,LeBron James,LAL @ HOU,0,1.0,27.6,25.2,25.047619047619047,9.6,8.4,23
2024-01-30,LeBron James,LAL @ ATL,0,0.0,27.2,24.3,25.0,9.2,8.8,20
2024-02-03,LeBron James,LAL @ NYK,0,3.0,26.4,23.8,24.886363636363637,8.8,9.4,24
2024-02-05,LeBron James,LAL @ CHA,0,1.0,25.6,24.0,24.866666666666667,8.8,9.4,26
2024-02-08,LeBron James,LAL vs. DEN,1,2.0,25.8,25.6,24.891304347826086,8.8,8.4,25
